Number,Project Name,Links,Description,Host/Recipient Country/ies,Provider Country/ies,Regions Involved,Entity/ies Supporting and/or Implementing,Is the private sector involved?,Does it involve LDCs?,UNDP as Implementor,UNDP as Donor,Start year,End year,Thematic Areas,Primary SDG Contribution,Secondary SDG Contribution
129,GEF Chemicals and Pollutants - Project ID:  00100779 / Output ID: 0103569,https://open.undp.org/projects/00100779,"The project objective is to protect human health and the global environment from the impact of harmful chemicals, particularly Persistent Organic Pollutants (POPs) and mercury (Hg). The project is financed by the GEF, and is part of the PlanetGOLD Program, in which the following countries also participate:. (https://www.thegef.org/newsroom/multimedia/gef-gold-program) participating countries (Burkina Faso (UNIDO), Colombia (UNDP), Guyana (Conservation International), Indonesia (UNDP), Kenya (UNDP), Mongolia (UNEP/UNIDO), Peru (UNDP) and the Philippines (UNEP/UNIDO), are involved in the project in Ecuador. Results, lessons learned, and experiences of the Ecuador project will be directly incorporated into the global component of GEF-GOLD PlanetGOLD, on communications and knowledge management (administered by UNEP). The PlanetGOLD Program has different spaces for experiences and knowledge exchange among the participant countries. The Chemicals Program from Ecuador has taken part in the latest event in Kenya, and the next event will be held in Ecuador in 2024. In addition, the Chemicals program had an interesting experience exchange with representatives from the PlanetGOLD Colombia in July 2023. UNDP ASM (small-scale mining) use the experience of an ASM project in another country (for example, exchanging national experts) to ensure coherence and consistency. Also, UNDP annually organizes face-to-face SSC exchange workshops among all UNDP/GEF chemicals and waste projects in the LAC, such as Colombia, Honduras and Uruguay, focusing on various POPs and Hg issues.","ECU,COL,HND,URY","BFA,COL,GUY,IDN,KEN,MNG,PER,PH","LAC,Asia","UNDP,Government of Ecuador,GEF-GOLD Countries",,,YES,,2018,2024,Environment,SDG12,"SDG13,SDG15,SDG3,SDG17"
130,Health Governance Initiative (HEART) - Project ID: 00106768 / Output ID: 00107345 ,https://open.undp.org/projects/00106768,"The project aimed to support government of Indonesia to increase capacity and stimulate other actors to find innovative and sustainable solutions to health system challenges and provide management support and technical assistance for the health program in Indonesia.The programme implementes South-South and triangular cooperation across all its activities. The work related to enabling policy and institutional environments benefits directly from UNDP Access Delivery and Partnership which brings Indonesia, Thailand, Ghana and Tanzania together. The eVIN/SMILE (Electronic Vaccine Intelligence Network/ Sistem Monitoring Informasi Logistik secara Elektronik) technology for improved supply chains stems directly from a South-South Cooperation project with India. The work related to procurement, supply chains more broadly and capacity development for programme implementation draws heavily on UNDP's engagement with the Global Fund over 25 countries. The programme also benefits from SSTC facilitated by UNDP Regional Hub (Bangkok) as well as BPPS (HQ). Japan, Australia and US supported this project.","IDN,THA,GHA,TZA","IND,AUS,JPN,USA","Asia Pacific,Africa,North America","Indonesia: Ministry of Health,Local governments,iNGOs,Global Environment Facility,The Global Fund to AIDS,Malaria,TB,GAVI,WHO,UNAIDS,Australia Department of Foreign Affairs and Trade",,YES,YES,YES,2017,2024,Governance,SDG3,SDG17
133,SDGIA Phase II with UNTB - Project ID: 00125892 / Output ID: 00120089,"https://open.undp.org/projects/00125892,https://www.sdgia.org/","The overall objective of the project is to replicate SDG Impact Accelerator Initiative in Turkiye which was first tested in 2019 under the leadership of MFA and UNDP in collaboration of strong Government, UN and private sector partners. The Project replicated accelerator program in Bangladesh and Uganda with corresponding priority challenge areas on Digital Agriculture and Financial Inclusion. The project contributed to the establishment of strategic  partnerships on technology and innovation between LDCs and Turkiye while supporting internal capacities in respective pilot countries. Overall intervention has benefitted SSC and TrC perspectives since the Project targets to establish a system via SDG Accelerator to ultimately serve LDCs with a global perspective on digital agriculture and financial inclusion, an action-oriented SST/TrC Strategy is already embedded in strategy/approach of the intervention.",TUR,"UGA,BGD","Asia Pacific,Africa,MENA","UNDP,Government of Turkey",YES,YES,YES,,2020,2022,"Poverty and Inequality,Resilience",SDG8,"SDG9,SDG17,SDG1"
139,Rural communities in Haiti gain access to water through solar water pumps,"https://indiaunfund.unsouthsouth.org/#publications, https://unsouthsouth.org/2023/02/22/rural-communities-in-haiti-gain-access-to-water-through-solar-water-pumps/,https://unsouthsouth.org/2023/02/22/rural-communities-in-haiti-gain-access-to-water-through-solar-water-pumps/#:~:text=The%20India%2DUN%20Fund%2Dsupported,to%20reduce%20greenhouse%20gas%20emissions.","The South-South cooperation project Improving access to water through the installation of solar pumping systems was launched in July 2020, and financed by the India-UN Development Partnership Fund, which is managed by the UNOSSC and implemented by UNDP and HaitiMinistry of the Environment.The India-UN Fund-supported project seeks to provide access to safe drinking water for 40,000 people, over half of whom are women and girls in the rural areas of Aquin and Baconnois, through the installation of 8 solar photovoltaic-based water pumping systems aimed to reduce greenhouse gas emissions. More than 20 women and men in these communities will receive vocational training on the operation and maintenance of the systems. Financed by the India-UN Development Partnership Fund, and jointly implemented by UNDP and HaitiMinistry of the Environment, with Indian company's involvement.",HTI,IND,"Asia Pacific,LAC","UNDP,Haiti Ministry of the Environment,Government of Haiti and India,Shakti Pumps(Indian firm),and Haitian technicians",YES,YES,YES,YES,2020,2023,"Energy,Gender Equality,Environment",SDG6,"SDG7,SDG2,SDG8,SDG17"
141,Global Sustainable Supply Chains For Marine Commodities - Project ID: 00083787 / Output ID: 00092092,https://open.undp.org/projects/00083787,"This is the national component from the GMC project, which shares the same objectives as the global component, and aimed to contribute to address key aspects of the market forces that drive overfishing. The project added to the transformation of the seafood market by mainstreaming sustainability in the value chain of important commodities from developing countries, improving emerging tools such as corporate sustainable purchase policies, sustainable marine commodities platforms, and fisheries improvement projects (FIP), developing national capacities, and generating learning to be shared worldwide. The project adapted the concept of green commodities platforms (currently used in agriculture) to the seafood value chain, implement public-private sustainable marine commodities platforms in Costa Rica, Ecuador, Indonesia and Philippines to generate experience that could be used in other countries. Ecuador has extensive experience in the preparation and implementation of SFAPs used for South-South Cooperation.","ECU,CRI,IDN,PHL",ECU,"Asia Pacific,LAC","The Bureau of Fisheries and Aquatic Resources of Philippines,Sustainable Fisheries Partnership,UNDP,Government of Ecuador",YES,,YES,YES,2017,2022,"Environment,Governance",SDG2,"SDG14,SDG15,SDG17"
144,Border Management Project,https://undp.sharepoint.com/:x:/r/teams/BPPS_Archive/DI/Annual_Planning_Monitoring_Reporting/planningandresults/_layouts/15/Doc.aspx?sourcedoc=%7B727AFD74-C3E2-40F0-9E1A-02E1B13ADFCB%7D&file=2021%20ROAR%20-%20Section%20C.2.xlsx&action=default&mobileredirect=true,"Border Management Project aimed to help countrycoordinating body with border management and to reinforce a knowledge sharing and partnerships across the region among border management and health authorities in Fiji, Palau and Vanuatu.It also builds on a synergies and partnerships with IOM and UNCTAD. Knowledge and capacity building and leveraging lessons learned across PICs can still take place despite COVID travel restrictions. Example, countries that do not have or have very few TB and HIV cases were able to learn case management and care support by those countries with greater disease burden.","FJI,PLW,VUT","FJI,PLW,VUT",Asia Pacific,"UNDP,Government of Fiji,Palau,Vanuatu,IOM,UNCTAD",,YES,,,,,Governance,SDG3,SDG17
146,Youth Co: Lab,"https://my.southsouth-galaxy.org/en/solutions/detail/youth-co-lab,https://www.youthcolab.org/","Co-created in 2017 by the United Nations Development Programme (UNDP) and the Citi Foundation, Youth Co:Lab aims to establish a common agenda for countries in the Asia-Pacific region to empower and invest in youth so that they can accelerate the implementation of the Sustainable Development Goals (SDGs) through leadership, social innovation and entrepreneurship. Since 2017, activities supported by Youth Co:Lab have reached 255,000 participants across Asia and the Pacific region. National youth social innovation and entrepreneurship activities have benefitted more than 15,000 people and over 1,700 youth-led social innovation or entrepreneurship teams. Youth Co:Lab connects ecosystem stakeholders through its key partnership structure, Youth Empowerment Alliance, and is a founding member of the Strategic Intelligence Hub, which serves as a nerve centre for regional development partners such as UNDP, Citi Foundation, The Commonwealth, ILO and UNESCAP to organize thought leadership initiatives and build a community of practice consisting of regional and national policy and programmatic leaders.","AUS,BGD,BTN,KHM,CHN,FJI,IND,IDN,JPN,LAO,MYS,MDV,MNG,MMR,NPL,NZL,PAK,PHL,WSM,SGP,SLB,KOR,LKA,THA,TLS,VUT,VNM","AUS,BGD,BTN,KHM,CHN,FJI,IND,IDN,JPN,LAO,MYS,MDV,MNG,MMR,NPL,NZL,PAK,PHL,WSM,SGP,SLB,KOR,LKA,THA,TLS,VUT,VNM",Asia Pacific,"UNDP,Citi Foundation",YES,YES,,,2017,2026,Poverty and Inequality,SDG8,SDG17
149,Winning Over Covid (CoWin)/ Project ID: 00133942 / Output ID: 00125678,"https://www.undp.org/india/projects/winning-over-covid-cowin, https://www.cowin.gov.in/, https://open.undp.org/projects/00133942","The Co-WIN platform is a state of the art digital solution from the Government of India to help countries of the world to achieve universal vaccination against COVID-19. COVID-19 Vaccine Intelligence Network (CoWIN) is the digital backbone of Indiarapidly expanding and one of the worldlargest COVID-19 vaccination programmes. UNDP India has been supporting the Government of Indiaeffort to share its technical knowledge and implementation experience on scaling up CoWIN, to other countries including Afghanistan, Bangladesh, Bhutan, Guyana, Indonesia, Iran, Myanmar, Nepal, the Philippines and Vietnam. Based on Indiaexperience, UNDP then provided technical support to Afghanistan, Bangladesh and Bhutan in customizing digital systems based on the CoWIN model to support their COVID-19 vaccination programme. In 2022, a study tour conducted by UNDP India to Indonesia on the CoWIN system was highly beneficial for the Indonesian delegation, consisting of senior technical officers from the Ministry of Health and UNDP country office. They learned about the implementation strategies, good practices, and governance structures of CoWIN, which has successfully vaccinated over 1 billion people in India. The study tour built upon the existing South-South exchange on digital health between India and Indonesia, resulting in the introduction of Indonesia's own SMILE digital vaccine system. The knowledge gained from the tour will guide the expansion of SMILE to support other health system functions in Indonesia. The regional health team in Asia-Pacific is planning to enhance South-South exchange on digital health, potentially collaborating with UNDP India during India's upcoming Presidency of the G20, which focuses on digital health and promoting South-South and triangular cooperation.","AFG,BGD,IDN,VNM,GUY",IND,"Asia Pacific,LAC","UNDP,Government of Afghanistan,Bangladesh,Indonesia,Vietnam and Guyana,India,GAVI(The Vaccine Allance)",,YES,YES,,2021,2022,"Environment,Governance",SDG3,SDG17
150,Pacific parliaments overcome physical barriers to support budget analysis in Tonga,https://www.undp.org/pacific/press-releases/pacific-parliaments-overcome-physical-barriers-support-budget-analysis-tonga,"The Innovative Floating Budget Office platform, allowed Fiji, Solomon, Vanuatu and Tonga to benefit using digital technology) from the expertise of Pacific researchers during their budget process. One major positive impact of SSC is the adoption of the Teieniwa Vision: Pacific Unity Against Corruption by 18 Pacific leaders through PIFS.","FJI,SLB,VUT,TON","FJI,NZL",Asia Pacific,"UNDP,Government of Fiji,Solomon,Vanuatu and Tonga,New Zealand",,YES,YES,,,,Governance,SDG16,SDG17
152,Family savings and improving poor diet families with devices using solar energy ,https://www.oecd.org/dac/dac-global-relations/triangular-co-operation-repository.htm                 https://fondochile.cl/iniciativa/ahorro-familiar-y-mejoramiento-de-dieta-familiar-comunitaria/ ,"Provided technical support and socially appropriate transfer for cooking food with a focus on energy efficiency, autonomy and sustainability of communities' technologies.Need more details on SSC between Chile and Uruguay. These initiative is a  projects implemented within the framework of the Chile Fund II. I do not know what was the criteria to select these and not others, because they are also not from the last public call (2021). All the initiatives can be found on the Fund's page (www.fondochile.cl) and can be filtered by year and other criteria. There are initiatives with civil society and State institutions. The last call has not yet been uploaded but we could compile the initiatives if you consider it is necessary. The last call (2021) focused on addressing the effects of the pandemic considering a gender perspective. Both initiatives are closed.",CHL,URY,LAC,"UNDP,Government of Chile,Chilean NGO ""Canelo de Nos""",,,,,2014,2016,Energy,SDG2,"SDG7,SDG17"
154,New Kuwait Partnership for Renewable Solar Energy,https://www.undp.org/yemen/press-releases/new-kuwait-partnership-renewable-solar-energy,"Reaching over 200,000 Yemenis with support to health facilities and micro-enterprises. UNDP welcomed a new Yemen-focused partnership with the Kuwait Fund for Arab Economic Development. Kuwait Fund provided a generous US$ 2.5 million to a new UNDP project called Renewable Energy Improve Access to Health Services and Livelihood Opportunities (HEAL) in Yemen. Funded by the Kuwait Fund for Arab Economic Development, UNDPRenewable Energy Improve Access to Health Services and Livelihood Opportunities (HEAL) project addresses the lack of access to energy in health facilities as well as the lack of income opportunities for Yemeni women and youth. ",YEM,KWT,"MENA,Asia","UNDP,Government of Yemen,Kuwait",YES,,YES,,2021,2023,Energy,SDG3,"SDG13,SDG8,SDG17"
158,Aid For Trade In Uzbekistan - Project ID: 00120489 / Output ID: 00116679,https://open.undp.org/projects/00120489,"The project endeavors to support the Government of Uzbekistan to enhance national capacities and bringing international expertise to support the countryWTO accession process, as well as building productive and export capacities for niche products, which will be identified in the agricultural, agro-industrial, and also in other employment-rich and potentially green sectors, to contribute to more economically, socially and environmentally sustainable growth patterns. Funded by Russia, Uzbekistan learned experience from Russia, and Belarus, and then shared its experience with  Kyrgyzstan, Tajikistan through SSC.","UZB,KGZ,TJK,BLR","RUS,UZB,BLR",Europe,"UNDP,WTO,Government of Uzbekistan,Kyrgyzstan,Tajikistan,Belarus,Russia.",YES,YES,YES,,2020,2022,"Environment,Governance",SDG2,"SDG8,SDG10,SDG17"
159,Reducing Pollution and Preserving Environmental Flows in the East Asian Seas through the Implementation of Integrated River Basin Management in ASEAN Countries - Project ID: 00104032 / Output ID: 00105775,https://open.undp.org/projects/00104032,"The project aimed to improve integrated water resources management, reduce pollution loads from nutrients and other land-based activities, sustain freshwater environmental flows and reduce climate vulnerability through demonstrations and replications, planning and strengthening of integrated river basin management in selected countries in the East Asian Seas. UNDP implemented this project in ASEAN countries. During the project, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, Philippines, Thailand, Viet Nam were recipients but exchanged experiences and lessons learned through SSC.","KHM,IDN,LAO,MYS,MMR,PHL,THA,VNM.","KHM,IDN,LAO,MYS,MMR,PHL,THA,VNM.",Asia Pacific,"UNDP,Government of Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Thailand,Viet Nam",,YES,YES,YES,2017,2019,Environment,SDG2,"SDG13,SDG14,SDG12,SDG17"
160,Climate Vulnerability Reduction - Project ID: 00125286 / Output ID: 00119698,https://open.undp.org/projects/00125286,"This project focuses on the impacts of climate risk in two Chilean coastal cities: Antofagasta and Taltal. Its goal is to reduce vulnerability to climate-related flooding, mudflows, and landslides in both coastal cities by incorporating a risk-based approach to adaptation, building collaborative action and networking, and developing an adaptive culture. During the project, cities from both Chile and Ecuador collaborated together, exchanged experience, and jointly developed management systems through SSC. UNDP facilitated the exchanges.","CHL,ECU","CHL,ECU",LAC,"UNDP,Development Bank of America,Government of Chile,Ecuador",YES,YES,YES,,2020,2025,Environment,SDG2,"SDG13,SDG17"
161,Global Marine Commodities - Project ID: 00090199 / Output ID: 00096079,https://open.undp.org/projects/00090199,"This project contributes to address key aspects of the market forces that drive overfishing. The project added to the transformation of the seafood market by mainstreaming sustainability in the value chain of important commodities from developing countries, improving emerging tools such as corporate sustainable purchase policies, sustainable marine commodities platforms, and fisheries improvement projects (FIP), developing national capacities, and generating learning to be shared worldwide. The project is an inter-regional intervention. Market engagement and knowledge management are global components. Ecuador was the global lead for this project, and has extensive experience in the preparation and implementation of SFAPs (Sustainable fisheries action plans) that was used for SSC. The sustainable marine commodities platforms and FIPs were implemented, using a participatory approach, in Costa Rica, Ecuador, Indonesia and Philippines through SSC. ","CRI,PHL,IDN,ECU",ECU,"LAC,Asia Pacific","UNDP,Government of Costa Rica,Philippines,Indonesia,Ecuador",YES,,YES,,2016,2022,"Governance,Environment",SDG2,"SDG12,SDG13,SDG15,SDG17,SDG1"
163,"Cross-border Cooperation for Sustainable Peace and Development (Kyrgyzstan and Tajikistan) project, funded by the UN Peacebuilding Fund (PBF) and Swiss Agency for Development and Cooperation (SDC)",https://www.undp.org/tajikistan/projects/cross-border-cooperation-sustainable-peace-and-development,"The project was conducted from 2015 to 2019 implemented by UNDP and several other UN entities (UNICEF, WFP, FAO, UN Women), aiming to reduce the immediate risk of renewed violence, in the light of the escalation of tensions and violence that erupted in 2014 between Tajik and Kyrgyz villagers and border guards. Although the tension between communities on both sides of the border has reduced since this 2014 peak, the lack of progress on border demarcation and delimitation leaves this border area in a state of continuous fragility. In this context, the project employed a strategy to improve contacts and friendship ties between youth and adolescents through joint cross-border activities based on their own initiative. Furthermore, more cross-border economic cooperation, which would reduce the incentive for engaging in violence, has been suggested by a review conducted by a Swiss-based private foundation (PeaceNexus). The review also concludes that the project remains relevant today, and it would be beneficial if a second phase were approved.","KGZ,TJK",CHE,"Asia Pacific,Europe","UNDP,UN Peacebuilding Fund(PBF),Swiss-based private foundation(PeaceNexus)  ",YES,,YES,,2015,2019,"Governance,Resilience",SDG16,SDG17
166,Towards innovation for corruption prevention in the Arab region,http://www.undp-aciac.org/resources/ac/newsDetails.aspx?nid=1230,"SSC has been pivotal to promote anti-corruption efforts in the Arab region. In March 2020, the city of Tangier in Morocco hosted more than 50 public officials, civil society representatives and expert specialists in the regional workshop organized by UNDP on Innovation for Corruption Prevention The event was held in the framework of the regional project on Anti-Corruption and Integrity in Arab Countries (ACIAC), with the support of the Korean International Cooperation Agency (KOICA) and in collaboration with the Moroccan National Authority for Probity, Prevention and Fight Against Corruption (INPPLC). Two days of expert discussions and exchanges of comparative experiences provided participants with a comprehensive understanding of the standards, tools and approaches, which have demonstrably proven their effectiveness in preventing corruption in the Arab region and beyond, including Georgia, Italy, Korea, Moldova and Ukraine. They also highlighted the importance of collaboration with civil society in this regard as demonstrated in related experiences from Lebanon and Ukraine. ","GEO,ITA,KOR,MDA,LBN,UKR,JOR,MAR","KOR,MAR","Asia Pacific,Europe,MENA","Korean International Cooperation Agency(KOICA),Moroccan National Authority for Probity,Prevention and Fight Against Corruption(INPPLC),UNDP",,,,,2020,2020,"Governance,Resilience",SDG16,SDG17
171,COVID-19 - Beyond recovery: Towards a new social contract for LAC (webinar),https://www.thenewworldreport.com/leaders-from-latin-america-and-the-caribbean-set-priorities-for-the-post-covid-19-recovery-agenda,"UNDP in collaboration with the Government of Colombia organized the XII Forum of Ministers for Social Development in Latin America and the Caribbean, and the Fourth Meeting of the Presiding Officers of the Regional Conference on Social Development in Latin America and the Caribbean of the Economic Commission for Latin America and the Caribbean (ECLAC), held in virtual format from 12 to 14 January 2021. The Forum is a high-level political event where ministers of Social Development from the 33 countries in the region, together with special guests, address priority development issues to unlock the potential of the 2030 Agenda. The discussions this year focused on ""COVID-19 - Beyond recovery: Towards a new social contract for LAC"" ","ARG,BHS,BRB,BLZ,BOL,BRA,CHL,COL,CRI,CUB,DMA,DOM,ECU,SLV,GRD,GTM,GUY,HTI,HND,JAM,MEX,NIC,PAN,PRY,PER,KNA,LCA,VCT,SUR,TTO,URY,VEN,ATG",COL,LAC,"UNDP,the Caribbean of the Economic Commission for Latin America and the Caribbean (ECLAC)",,YES,,,2021,2021,Governance,SDG3,"SDG16,SDG17"
186,Institutional capacity building for Mesoamerican governments on monitoring and evaluating the Millennium Development Goals ,https://www.gob.mx/amexcid/acciones-y-programas/desarrollo-de-capacidades-institucionales-de-los-gobiernos-mesoamericanos-para-el-monitoreo-y-evaluacion-del-cumplimiento-de-los-odm,"To promote the institutional strengthening of Mesoamerican countries, helping them to design and manage M&E systems for measuring the achievements of the MDGs.","MEX,BLZ,CRI,GTM,HND,DOM,NIC,SLV,PAN",MEX,LAC,"Mexico,United Nations Development Programme (UNDP),Belize,Costa Rica,Guatemala,Honduras,Dominican Republic,Nicaragua,El Salvador,Panama",,,YES,,2012,2015,Governance,SDG16,SDG17
191,Cuba & the Pacific: Fostering Organic Agriculture Across the Ocean,https://my.southsouth-galaxy.org/en/solutions/detail/cuba-and-the-pacific,"The Global Environment Facility Small Grants Programme (GEF SGP) Cuba has been promoting sustainable land management, including organic farming, and has developed an environmentally sustainable agriculture model that increases the resilience of agricultural systems to climate change. Over the last few years, GEF SGP Cuba implemented 14 projects that brought 5,527 hectares of land under improved management and benefitted 23 agricultural cooperatives. These results provided the basis for this exchange facilitated by GEF SGP Cuba, Fiji and the Solomon Islands. In May 2015, participants from Cuba, El Salvador, Fiji, Guatemala and the Solomon Islands met in Havana, Cuba to learn from Cuban farmers about low cost and proven ecological farming practices. To coordinate the exchange, POETCom, a network of organic producers across the Pacific Islands, selected the Zai Na Tina Organic Demonstration and Research Farm (ZNT) from the Solomon Islands and Tei Tei Taveuni (TTT) from Fiji.","CUB,SLV,FJI,GTM,SLB",CUB,"LAC,Asia Pacific","Cuba,El Salvador,Fiji,Guatemala,the Solomon Islands United Nations Development Programme(UNDP),GEF Small Grants Programme",,YES,YES,,2015,2017,"Resilience,Environment",SDG2,"SDG17,SDG3"
192,Building a Green Economy through Rwandas Green Fund,https://erc.undp.org/evaluation/documents/download/12036,"As one of the most vulnerable nations to climate change, Rwanda is acutely aware of the challenges that lie ahead. For this reason, the country established a groundbreaking investment fund to support green projects that can realize Rwandavision of becoming a low-carbon and climate-resilient economy by 2050. The fund has created over 100,000 jobs and mobilized around US$100 million and is a leading example of climate financing for the achievement of the SDGs. Five countries in the region had South South knowledge and experience exchange built in to the design and its execution.The project partners availed of opportunities to discuss rules, regulations and operating procedures with neighbouring countries as the ecosystem issues often have cross boundary implications.  ",RWA,"GBR,DEU",Africa,"Rwanda,United Nations Development Programme (UNDP),Global Green Growth Institute,Green Climate Fund,United Kingdom,Germany",,YES,YES,,2014,2018,"Environment,Resilience",SDG13,SDG17
198,Enhancing regional co-operation to process war crimes and search for missing persons,https://www.undp.org/eurasia/publications/processing-war-crimes-and-search-missing-people-western-balkans-regional-brief,"To increase efficiency and effectiveness of co-operation between regional Prosecutors in processing war crimes and search for missing persons, thus contributing to reconciliation and peace-building among the engaged countries, as well as accelerating accession of BiH and Serbia to the EU, based on Croatia's experience. Since 2015, UNDP has been facilitating the platform for regional cooperation on war crimes and missing persons through regional and bilateral meetings between POs and IMPs of Bosnia and Herzegovina, Croatia, Montenegro and Serbia. UNDP works closely with national governments in the Western Balkans and has been supporting rule of law programming and transitional justice processes for more than a decade. Therefore, UNDP is well positioned to facilitate cross-border cooperation between the national POs, IMPs and governments and strengthen capacities of national institutions and civil society engaged in transitional justice.","BIH,HRV,MNE,SRB","BIH,HRV,MNE",Europe,"Croatia,Bosnia and Herzegovina,Serbia,United Nations Development Programme (UNDP),Victim associations and NGOs/CSOs working in the areas of human rights and access to justice",,,YES,,2014,2017,"Governance,Resilience",SDG16,SDG17
199,Cit of Almaty Sustainable Transport (CAST),https://www.undp.org/kazakhstan/publications/accessible-public-transport-low-mobility-groups-rk,"To test new approaches, incl. gender, to sustainable transport and transfer lessons from Russia and Pakistan to the City of Almaty in Kazakhstan ",KAZ,"RUS,PAK",Asia Pacific,"Kazakhstan,Russian Federation,Pakistan,United Nations Development Programme(UNDP)",,,YES,,2015,2017,"Governance,Gender Equality",SDG16,SDG17
201,Economic Management & Development Effectiveness,,The project aims to strengthen Government efforts in the important area of Aid Coordination and development effectiveness in Zimbabwe.,ZWE,"TUR,MOZ,USA,KOR,CHE,ETH","Asia Pacific,Europe,North America","Zimbabwe,Turkey,Mozambique,United States,Korea,Switzerland,Ethiopia,UNDP,Zimbabwe governments:Ministry of Departments of International Cooperation Department(ICD),Implementation and Monitoring Unit(IMU) and Accountant General",,YES,,,2016,2021,Governance,SDG16,SDG17
203,"UNDESA-UNDP Asia-Pacific regional workshop on ""Strengthening Policies, Processes, and Data Systems for Effective Development Cooperation""",https://www.un.org/development/desa/financing/events/undesa-undp-asia-pacific-regional-workshop-strengthening-policies-processes-and-data-systems,"UNDESA, and the International Aid Transparency Initiative (IATI) hosted by UNDP organized a joint capacity development workshop for developing countries in the Asia-Pacific region on Strengthening Policies, Processes, and Data Systems for Effective Development Cooperation in Bangkok, Thailand on 30 November - 1 December 2022. The workshop covered ddressed a range of capacity development needs identified by more than 30 developing countries participating in recent IATI workshops in Kigali and Abuja, and through more than 50 developing countries participating in the 2022 Development Cooperation Forum (DCF) Survey exercise. The event emphasized peer learning at the regional level by allowing national experts to exchange practical knowledge and experience on how their own efforts and lessons learned in enhancing data and information systems and capacities could be contextualized, adapted, and applied. Indeed, objectives of this workshop included: (1) Facilitate peer learning and knowledge exchange to share good practices and innovative solutions on national planning, coordination, and data systems needs. Countries were asked to bring practical examples from their country context for discussion and collective brainstorming. (2) Present developing countries experiences using development cooperation information systems as a key enabler of effective development cooperation, drawing on country cases and insights from the 2022 DCF Survey Study / exercise. (3) Promote interactive dialogue between participants and regional experts to enhance learning and build on regional expertise. (4) Identify practical follow-up actions for participants, building on country cases and good practices.","BGD,BTN,KHM,COK,FSM,FJI,IDN,LAO,MYS,MHL,MNG,NPL,NGA,PHL,THA,VNM",THA,"Asia Pacific,Africa","UNDP International Aid Transparency Initiative(IATI) Secretarariat and the Financing for Sustainable Development Office(FSDO),UNDESA",,YES,YES,,2022,2022,Governance,SDG16,SDG17
204,Two workshops in Kigali with Governments and AIMS experts to progress work on enabling data use,https://iatistandard.org/en/news/iati-holds-two-workshops-in-kigali-with-governments-and-aims-experts-to-progress-work-on-enabling-data-use/,"The International Aid Transparency Initiative (IATI) hosted by UNDP , in collaboration with the government of Rwanda, organized two workshops to advance the use of IATI data amongst partner countries. The first one was the IATI Partner Country Workshop, were representatives from 13 governments joined a two-day workshop in Kigali (on 17-18 May), which was followed by a workshop with key experts on integrating IATI data into partner countries aid information management systems (19-20 May). In the first workshop, IATI members joined from the governments of Benin, Burkina Faso, Chad, Colombia, Guinea, Honduras, Lesotho (observer), Liberia, Malawi, Nepal, Nigeria, Rwanda and Sierra Leone. Representatives shared and discussed ongoing challenges in meeting their development finance data needs at the country level. explored how to use IATI data as a complement to data available at the national level. They discussed how this data could improve governments visibility of billions of dollars of external development and humanitarian resources, and ensure more effective planning, budgeting and coordination. Going forward, the partner country representatives are keen to continue learning and collaborating via face-to-face and virtual meetings. The second one was the IATI AIMS Workshop, with the participation of Liberia, Nepal, and Rwanda, and AIMS experts, including representatives from three AIMS service providers (Catalpa, Development Gateway and Synergy), where they discussed current challenges and potential solutions for making IATI data more accessible and usable for partner country governments through integration with their national AIMS.","BEN,BFA,TCD,COL,GIN,HND,LSO,LBR,MWI,NPL,NGA,RWA,SLE",RWA,"Africa,LAC","UNDP International Aid Transparency Initiative (IATI) Secretarariat and the Financing for Sustainable Development Office (FSDO),UNDESA",YES,YES,YES,,2022,2022,Governance,SDG16,SDG17
205,IATI workshop in Abuja held to strengthen data use in West and Central Africa,https://iatistandard.org/en/news/iati-workshop-held-to-strengthen-data-use-in-west-and-central-africa/,"The multistakeholders workshop ""Strengthening IATI Data Use in West and Central Africa was co-hosted by IATI together with the Nigerian Federal Ministry of Finance, Budget, and National Planning. The three-day meeting in June 2023 engaged potential data users from 14 partner country governments across West and Central Africa, and development partners and civil society organisations (CSOs) based in Nigeria. The governments of Nigeria and Liberia presented on how they are accessing and using IATI data to help meet their countries development finance information needs. Participants also discussed how IATI could add value as a complement to governments own systems that are managing similar data.","CPV,CMR,CIV,COD,GNQ,GAB,GHA,MRT,MDA,NER,NGA,SEN,GMB,TGO","NGA,LBR",Africa,"UNDP International Aid Transparency Initiative (IATI) Secretarariat and the Financing for Sustainable Development Office (FSDO),UNDESA",,YES,YES,,2022,2022,Governance,SDG16,SDG17
